Questions,LemmaID,words,category,lexical_category,aoa,DF_aoa,Kuperman_aoa,words_FeatsVersion,words_FANversion,words_DaleFensonVersion,words_KupermanVersion,Freq_pm,Feats_check,FAN_check,DF_check
,sauce,sauce,food_drink,nouns,27.26643002,29,5.37,sauce,sauce,sauce,sauce,15.59,TRUE,TRUE,TRUE
,school,school,places,other,23.11632525,23,3.89,school,school,school,school,333.12,TRUE,TRUE,TRUE
,scissors,scissors,household,nouns,25.12524339,25,4.5,scissors,scissors,scissors,scissors,6.69,TRUE,TRUE,TRUE
,sheep,sheep,animals,nouns,22.94529748,23,4.25,sheep,sheep,sheep,sheep,13.43,TRUE,TRUE,TRUE
,shirt,shirt,clothing,nouns,21.27199136,21,3.53,shirt,shirt,shirt,shirt,46.37,TRUE,TRUE,TRUE
,shoes,shoe,clothing,nouns,15.37415951,16,2.6,shoes,shoe,shoe,shoe,30.39,TRUE,TRUE,TRUE
,shorts,shorts,clothing,nouns,24.34499005,23,3.95,shorts,shorts,shorts,shorts,9.41,TRUE,TRUE,TRUE
,shoulder,shoulder,body_parts,nouns,26.66886302,27,4.5,shoulder,shoulder,shoulder,shoulder,26.2,TRUE,TRUE,TRUE
,shovel,shovel,outside,nouns,25.2876622,23,6.28,shovel,shovel,shovel,shovel,6.84,TRUE,TRUE,TRUE
,shower,shower,furniture_rooms,nouns,23.46435811,22,4.72,shower,shower,shower,shower,41.12,TRUE,TRUE,TRUE
,sister,sister,people,other,26.74207224,28,3.68,sister,sister,sister,sister,180.53,TRUE,TRUE,TRUE
,slide,slide (object),outside,nouns,22.50469894,22,4.79,slide,slide,slide,slide,17.82,TRUE,TRUE,TRUE
,snow,snow,outside,nouns,24.49821849,23,4.11,snow,snow,snow,snow,31.35,TRUE,TRUE,TRUE
,soap,soap,household,nouns,22.10108254,20,3.17,soap,soap,soap,soap,15.2,TRUE,TRUE,TRUE
,socks,sock,clothing,nouns,20.16573128,17,2.94,socks,sock,sock,sock,8.98,TRUE,TRUE,TRUE
,soda,soda/pop,food_drink,nouns,25.713585,22,4.42,soda/pop,soda,soda pop,soda,19.84,TRUE,TRUE,TRUE
,soup,soup,food_drink,nouns,24.39324029,23,5.37,soup,soup,soup,soup,25.2,TRUE,TRUE,TRUE
,spoon,spoon,household,nouns,19.58550418,19,2.5,spoon,spoon,spoon,spoon,7.61,TRUE,TRUE,TRUE
,squirrel,squirrel,animals,nouns,24.47506461,26,4.44,squirrel,squirrel,squirrel,squirrel,5.47,TRUE,TRUE,TRUE
,stairs,stairs,furniture_rooms,nouns,24.41297366,22,4.22,stairs,stairs,stairs,stairs,23.76,TRUE,TRUE,TRUE
,star,star,outside,nouns,21.99005286,24,3.89,star_(outside),star,star,star,81.35,TRUE,TRUE,TRUE
,stomach,tummy,body_parts,nouns,21.02962771,20,5.26,tummy,stomach,tummy,stomach,33.82,TRUE,TRUE,TRUE
,story_1,story,toys,nouns,24.26462702,23,3.89,story,story,story,story,220.78,TRUE,TRUE,TRUE
,strawberry,strawberry,food_drink,nouns,23.62083452,23,4.21,strawberry,strawberry,strawberry,strawberry,5.53,TRUE,TRUE,TRUE
