Concept,definition,uni_lemma,Pronunciation,Num_Parts,MN_Toddler_Access,MN_Toddler_Access_No_Tax,Phon_1st,SUBTLEX_PM,LN_SUBTLEX,Length_Letters,Length_Phonemes,Length_Syllables,Bigram,Trigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_Percent_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,Percent_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisFandS,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Percep,Num_Ency,Num_Tax
vacuum,vacuum,vacuum,[v&][kjU@m],63,4.34,4.34,v,46.07,3.83,6,6,2,169.11,17.56,0,8,8,4,50,0.438,0.465,41.39,2,7,4,0,3,0,1,0,0,0,4,0,0
vagina,vagina*,vagina,[v@][dZaI][n@],54,2.49,2.19,v,53.75,3.98,6,6,3,979.43,38.94,0,9,7,6,86,0.905,0.902,0,0,0,4,0,1,0,0,0,0,1,2,1,2
vanilla,vanilla,vanilla,[v@][nI][l@],46,4.2,4.9,v,38.97,3.66,7,6,3,306.19,5.25,0,9,5,0,0,0.135,0.127,74.94,3,30,2,0,0,1,0,2,0,0,3,0,4
vitamins,vitamins,vitamins,[vI][t@][mInz],96,2.87,3.06,v,47.18,3.85,8,8,3,994.79,77.27,0,7,6,4,67,0.537,0.482,0,0,0,0,0,1,0,0,0,0,0,1,5,1
walker,walker,walker,[wO:][k@r*],42,4.18,4.18,w,88.83,4.49,6,5,2,2241.31,221.34,2,5,5,2,40,0.351,0.402,0,0,0,3,0,2,0,0,0,0,0,2,0,0
washing_machine,washing machine,washing machine,[wO][SIN][m@][Si:n],63,4.35,4.35,w,NA,NA,14,10,4,NA,NA,0,10,10,4,40,0.447,0.437,274.86,6,13,3,2,0,0,1,0,0,0,3,4,0
watch,watch (object),watch (object),[wOtS],103,3.58,4.07,w,525.39,6.26,5,3,1,1805.08,388.2,7,9,7,5,71,0.595,0.557,137.86,1,5,2,0,5,0,0,0,0,0,5,0,2
water_(a_drink),water (beverage),water (beverage),[wO:][t@r*],33,4.33,4.23,w,4059.97,8.31,5,5,2,3267.72,1279.95,7,16,15,7,47,0.452,0.456,457.88,8,8,5,0,2,1,0,1,0,1,5,5,1
water_(found_outdoors),water (not beverage),water (not beverage),[wO:][t@r*],33,4.77,4.86,w,3552.47,8.18,5,5,2,3267.72,1279.95,7,14,8,4,50,0.557,0.528,0,0,0,4,0,2,0,0,0,0,0,2,2,6
wind,wind,wind,[waInd],59,4.06,3.98,w,447.56,6.1,4,4,1,5035.26,834.85,12,8,7,5,71,0.75,0.749,0,0,0,0,2,0,0,0,0,0,1,3,4,1
window,window,window,[wIn][d@U],41,3.77,3.77,w,1781.7,7.49,6,5,2,608.8,187.23,0,15,15,8,53,0.537,0.547,200.2,5,5,5,0,6,2,0,0,0,0,8,2,0
wolf,wolf,wolf,[wUlf],60,4.36,4.28,w,442.27,6.09,4,4,1,1044.35,21.95,2,16,13,7,54,0.583,0.567,64.55,1,1,0,0,2,1,2,0,0,1,6,7,3
woods,woods,woods,[wUdz],41,4.7,4.76,w,607.23,6.41,5,4,1,1982.53,104.16,6,10,9,3,33,0.452,0.441,263.03,4,11,1,0,4,1,0,0,0,0,5,3,1
work,work (place),work (place),[w3:k],60,3.09,3.08,w,3536.07,8.17,4,3,1,2429.8,1010.03,8,9,7,6,86,0.833,0.83,0,0,0,1,0,0,0,0,0,0,0,0,6,2
yard,yard,yard,[jA:d],41,4.98,4.93,j,696.85,6.55,4,3,1,994.2,205.9,7,16,14,5,36,0.363,0.327,681.35,19,21,2,0,5,1,0,0,0,0,6,6,2
yogurt,yogurt,yogurt,NA,40,4.35,4.41,j,31.67,3.46,6,6,2,320.32,31.65,0,15,11,4,36,0.314,0.327,439.74,13,24,0,0,0,0,0,2,0,1,3,8,4
zebra,zebra,zebra,[zE][br@],30,4.52,4.52,z,52.21,3.96,5,5,2,44.75,2.44,0,16,13,3,23,0.347,0.352,750.89,19,24,2,2,5,2,0,0,0,0,9,2,3
zipper,zipper,zipper,[zI][p@r*],43,4.63,4.63,z,32.44,3.48,6,5,2,1576.55,127.51,3,9,9,5,56,0.393,0.367,22.85,1,3,1,2,3,0,0,0,0,0,5,3,0
zoo,zoo,zoo,[zu:],74,5.04,5.04,z,187.86,5.24,3,2,1,538.75,NA,7,12,12,9,75,0.658,0.629,0,0,0,1,0,1,0,0,0,1,0,2,9,0
