Concept,definition,uni_lemma,Num_Func,Num_Vis_Mot,Num_VisFandS,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Percep,Num_Ency,Num_Tax,LemmaID,Sign,bglm_aoa_ASL,empirical_aoa_ASL,category,lexical_category,aoa,DF_aoa,CHILDES.count,CHILDES.freq.pm,CHILDES.ln_freq.pm,SignFrequency(Z)
ice_cream,ice cream,ice cream,0,0,0,0,0,5,0,2,7,4,2,icecream,ICECREAM,24,14,food_drink,nouns,21.43298396,22,208,90.66230557730096,4.507141676220677,0.49
jacket,jacket,jacket,4,0,6,1,0,0,0,1,8,2,1,jacket,JACKET,29,19,clothing,nouns,23.32266643,23,134,58.40744686229965,4.06744339647027,-0.106
jelly,jelly,jelly,2,0,0,0,0,4,0,1,5,4,0,jelly,JELLY,41,27,food_drink,nouns,25.84604098,25,121,52.741052763718336,3.965394142116099,-1.056
key,keys,keys,7,0,4,1,1,0,0,0,6,2,0,key,KEY,29,28,household,nouns,20.71199867,17,335,146.01861715574913,4.983734128344425,0.086
kitchen,kitchen,kitchen,4,0,12,0,0,0,0,0,12,1,1,kitchen,KITCHEN,43,28,furniture_rooms,nouns,23.41508688,23,428,186.55512878406157,5.228726792101155,1.167
kitty,kitty,kitty,0,0,3,0,2,0,0,3,8,3,4,cat,CAT,24,14,animals,nouns,17.09833362,16,1413,615.8934508688761,6.423073979203886,0.597
knife,knife,knife,3,0,6,0,0,0,0,2,8,3,3,knife,KNIFE,35,26,household,nouns,24.57805121,23,118,51.43342335635342,3.940288220985023,-0.215
lamp,lamp,lamp,3,0,6,0,0,0,0,0,6,4,1,lamp,LAMP,25,14,household,nouns,27.19430538,28,48,20.92207051783868,3.0408046074272495,0.316
lawn_mower,lawn mower,lawn mower,4,0,3,0,1,0,0,0,4,1,1,lawnmower,LAWNMOWER,38,28,outside,nouns,26.28983009,23,15,6.538147036824587,1.8776537976215684,-0.956
lion,lion,lion,1,0,5,0,1,0,0,0,6,6,7,lion,LION,24,14,animals,nouns,22.43681334,23,563,245.39845211548288,5.5028832246590476,-0.33
